1064991,GayPride,esc,1,0,,21,21,1,125
74,AsianGlow,F1,2,0,,350,21,0,125
196892,TwitchUnity,F2,3,0,,515,21,0,125
16,OptimizePrime,F3,4,0,,680,21,0,125
1901,Kippa,F4,5,0,,845,21,0,125
1130349,PansexualPride,F5,6,0,,1089,21,0,125
114846,TooSpicy,F6,7,0,,1253,21,0,125
115233,BrainSlug,F7,8,0,,1418,21,0,125
156787,MorphinTime,F8,9,0,,1583,21,0,125
1584743,GunRun,F9,10,0,,1827,21,0,125
1713818,HolidayOrnament,F10,11,0,,1992,21,0,125
81273,KomodoHype,F11,12,0,,2157,21,0,125
18,TheRinger,F12,13,0,,2322,21,0,125
22998,panicBasket,`,14,0,,21,273,0,125
191767,Squid4,1,15,0,,186,273,0,125
27602,BuddhaBar,2,16,0,,351,273,0,125
58765,NotLikeThis,3,17,0,,516,273,0,125
28087,WutFace,4,18,0,,681,273,0,125
30259,HeyGuys,5,19,0,,846,273,0,125
65,FrankerZ,6,20,0,,1011,273,0,125
116625,CurseLit,7,21,0,,1176,273,0,125
134256,RlyTho,8,22,0,,1341,273,0,125
965738,PartyHat,9,23,0,,1506,273,0,125
34875,NotATK,0,24,0,,1671,273,0,125
425618,LUL,-,25,0,,1836,273,1,125
68,HassanChop,=,26,0,,2001,273,0,125
112288,copyThis,backspace,27,0,,2166,273,0,280
166263,TwitchLit,insert,28,0,,2522,273,0,125
3668,PanicVis,home,29,0,,2687,273,0,125
15,JKanStyle,pageup,30,0,,2852,273,1,125
1713816,HolidayLog,tab,31,0,,21,460,0,205
111351,TheTarFu,q,32,0,,265,460,0,125
1220086,TwitchRPG,w,33,0,,430,460,0,125
425671,PowerUpR,e,34,0,,595,460,0,125
100590,OpieOP,r,35,0,,760,460,0,125
1064995,TransgenderPride,t,36,0,,925,460,0,125
300116350,SingsNote,y,37,0,,1090,460,0,125
4338,RitzMitz,u,38,0,,1255,460,0,125
1900,RalpherZ,i,39,0,,1420,460,0,125
81274,VoHiYo,o,40,0,,1585,460,0,125
530888,RedTeam,p,41,0,,1750,460,0,125
106293,VoteYea,[,42,0,,1915,460,0,125
32,GingerPower,],43,0,,2080,460,0,125
40,KevinTurtle,\,44,0,,2245,460,0,205
81248,OSFrog,del,45,0,,2522,460,0,125
89945,SmoocherZ,end,46,0,,2687,460,0,125
62835,bleedPurple,pagedown,47,0,,2852,460,0,125
114836,Jebaited,capslock,48,0,,21,646,0,245
973,DAESuppy,a,49,0,,306,646,0,125
110734,DxCat,s,50,0,,471,646,0,125
133537,KAPOW,d,51,0,,636,646,1,125
191313,CrreamAwk,f,52,0,,801,646,0,125
26,JonCarnage,g,53,0,,966,646,1,125
160394,BegWan,h,54,0,,1131,646,0,125
22639,BabyRage,j,55,0,,1296,646,0,125
1896,WholeWheat,k,56,0,,1461,646,0,125
112289,pastaThat,l,57,0,,1626,646,0,125
7427,TheThing,semicolon,58,0,,1791,646,0,125
1221184,IntersexPride,',59,0,,1956,646,0,125
114738,BlargNaut,enter,60,0,,2121,646,0,325
1290325,MaxLOL,shift,61,1,,21,836,0,325
191763,Squid2,z,62,0,,386,836,0,125
38436,TTours,x,63,0,,551,836,0,125
191762,Squid1,c,64,0,,716,836,0,125
114856,UncleNox,v,65,0,,881,836,0,125
1441276,FBBlock,b,66,0,,1046,836,0,125
160400,KonCha,n,67,0,,1211,836,0,125
864205,TombRaid,m,68,0,,1376,836,0,125
166266,CarlSmile,comma,69,0,,1541,836,0,125
3792,ANELE,.,70,0,,1706,836,0,125
20225,HassaanChop,/,71,0,,1871,836,0,125
30134,Mau5,ctrl,72,1,,21,1023,0,225
160401,PunOko,win,73,1,,286,1023,0,165
461298,DarkMode,left alt,74,1,,490,1023,1,165
110785,DrinkPurple,space,75,0,,695,1023,0,1097
160402,SabaPing,right alt,76,0,,1835,1023,0,165
1898,ThunBeast,win,77,0,,2038,1023,0,165
624501,PurpleStar,up,78,0,,2686,836,1,125
160397,Kappu,left,79,0,,2521,1023,0,125
160395,BigPhish,down,80,0,,2686,1023,0,125
479745,TwitchVotes,right,81,0,,2851,1023,0,125
